date,market,channel,impressions,clicks,spend_vnd,installs,bookings
2026-03-06,Đà Nẵng,TikTok Ads,10193,204,664394,20,5
2026-03-06,Đà Nẵng,Google Ads,6527,268,1343486,46,17
2026-03-06,Đà Nẵng,Zalo Ads,4682,137,332907,27,6
2026-03-06,Cần Thơ,Facebook Ads,8176,89,308978,22,5
2026-03-06,Cần Thơ,TikTok Ads,6822,126,307324,19,4
2026-03-06,Cần Thơ,Google Ads,4408,172,826582,41,15
2026-03-06,Cần Thơ,Zalo Ads,3107,69,148613,11,6
2026-03-07,TP.HCM,Facebook Ads,38563,466,2218946,73,23
2026-03-07,TP.HCM,TikTok Ads,32535,549,2086810,52,21
2026-03-07,TP.HCM,Google Ads,20915,909,6453794,134,57
2026-03-07,TP.HCM,Zalo Ads,15366,404,1177407,45,16
2026-03-07,Hà Nội,Facebook Ads,30103,408,1541657,63,21
2026-03-07,Hà Nội,TikTok Ads,25260,556,2063889,70,12
2026-03-07,Hà Nội,Google Ads,16260,633,3714791,141,87
2026-03-07,Hà Nội,Zalo Ads,11866,239,593531,20,10
2026-03-07,Đà Nẵng,Facebook Ads,10847,152,553512,21,5
2026-03-07,Đà Nẵng,TikTok Ads,9127,176,508078,17,7
2026-03-07,Đà Nẵng,Google Ads,5927,228,1107021,44,23
2026-03-07,Đà Nẵng,Zalo Ads,4289,90,209879,14,5
2026-03-07,Cần Thơ,Facebook Ads,7212,90,308815,16,9
2026-03-07,Cần Thơ,TikTok Ads,6171,107,335417,6,3
2026-03-07,Cần Thơ,Google Ads,4008,169,802681,46,22
2026-03-07,Cần Thơ,Zalo Ads,2915,84,165417,15,5
2026-03-08,TP.HCM,Facebook Ads,38441,382,1346737,46,11
2026-03-08,TP.HCM,TikTok Ads,32578,616,2454603,57,16
2026-03-08,TP.HCM,Google Ads,21018,961,6566217,217,145
2026-03-08,TP.HCM,Zalo Ads,15356,294,935071,38,8
2026-03-08,Hà Nội,Facebook Ads,29639,416,1686987,68,14
2026-03-08,Hà Nội,TikTok Ads,25334,387,1457309,40,5
2026-03-08,Hà Nội,Google Ads,16615,722,4344843,166,98
2026-03-08,Hà Nội,Zalo Ads,11980,306,756061,61,32
2026-03-08,Đà Nẵng,Facebook Ads,10682,138,501103,21,5
2026-03-08,Đà Nẵng,TikTok Ads,9242,171,455176,24,6
2026-03-08,Đà Nẵng,Google Ads,5986,251,1162550,62,33
2026-03-08,Đà Nẵng,Zalo Ads,4310,97,234255,10,1
2026-03-08,Cần Thơ,Facebook Ads,7433,103,329114,21,9
2026-03-08,Cần Thơ,TikTok Ads,6249,105,286682,9,2
2026-03-08,Cần Thơ,Google Ads,3936,169,694117,38,23
2026-03-08,Cần Thơ,Zalo Ads,2965,62,141255,9,3
2026-03-09,TP.HCM,Facebook Ads,42952,490,2247356,68,22
2026-03-09,TP.HCM,TikTok Ads,36385,492,1827229,62,9
2026-03-09,TP.HCM,Google Ads,23678,1124,6600049,155,57
2026-03-09,TP.HCM,Zalo Ads,17019,321,975611,52,17
2026-03-09,Hà Nội,Facebook Ads,33227,407,1623513,48,19
2026-03-09,Hà Nội,TikTok Ads,28186,464,1495078,58,17
2026-03-09,Hà Nội,Google Ads,18486,640,4237372,96,50
2026-03-09,Hà Nội,Zalo Ads,13327,213,588998,32,13
2026-03-09,Đà Nẵng,Facebook Ads,11961,184,549752,25,11
2026-03-09,Đà Nẵng,TikTok Ads,10353,208,603225,19,9
2026-03-09,Đà Nẵng,Google Ads,6572,294,1636588,74,39
2026-03-09,Đà Nẵng,Zalo Ads,4852,108,248142,17,2
2026-03-09,Cần Thơ,Facebook Ads,8065,91,274727,10,4
2026-03-09,Cần Thơ,TikTok Ads,6922,160,440468,22,5
2026-03-09,Cần Thơ,Google Ads,4459,215,1066746,49,27
2026-03-09,Cần Thơ,Zalo Ads,3291,79,165744,12,2
2026-03-10,TP.HCM,Facebook Ads,43086,475,2008493,99,29
2026-03-10,TP.HCM,TikTok Ads,36565,726,2719967,75,13
2026-03-10,TP.HCM,Google Ads,23848,916,6328825,147,85
2026-03-10,TP.HCM,Zalo Ads,17202,382,1101140,79,22
2026-03-10,Hà Nội,Facebook Ads,33273,467,1842084,67,26
2026-03-10,Hà Nội,TikTok Ads,28733,502,1986788,69,16
2026-03-10,Hà Nội,Google Ads,18489,687,4491106,140,72
2026-03-10,Hà Nội,Zalo Ads,13428,334,886920,59,13
2026-03-10,Đà Nẵng,Facebook Ads,11924,159,454254,23,11
2026-03-10,Đà Nẵng,TikTok Ads,10107,178,516848,19,6
2026-03-10,Đà Nẵng,Google Ads,6542,262,1398459,67,25
2026-03-10,Đà Nẵng,Zalo Ads,4796,76,178748,10,4
2026-03-10,Cần Thơ,Facebook Ads,8192,135,436501,27,5
2026-03-10,Cần Thơ,TikTok Ads,6999,133,369635,9,3
2026-03-10,Cần Thơ,Google Ads,4409,211,1101166,48,24
2026-03-10,Cần Thơ,Zalo Ads,3195,82,193668,15,1
2026-03-11,TP.HCM,Facebook Ads,42944,585,2367307,83,19
2026-03-11,TP.HCM,TikTok Ads,36098,577,1964461,52,17
2026-03-11,TP.HCM,Google Ads,24025,955,6659460,122,57
2026-03-11,TP.HCM,Zalo Ads,17303,449,1288052,68,18
2026-03-11,Hà Nội,Facebook Ads,33948,400,1530709,51,8
2026-03-11,Hà Nội,TikTok Ads,28256,462,1632912,51,16
2026-03-11,Hà Nội,Google Ads,18440,691,4058285,143,76
2026-03-11,Hà Nội,Zalo Ads,13407,299,960654,40,13
2026-03-11,Đà Nẵng,Facebook Ads,12036,153,486703,21,5
2026-03-11,Đà Nẵng,TikTok Ads,10089,189,548571,25,9
2026-03-11,Đà Nẵng,Google Ads,6614,264,1319419,60,30
2026-03-11,Đà Nẵng,Zalo Ads,4815,122,300245,21,5
2026-03-11,Cần Thơ,Facebook Ads,8177,85,279858,18,4
2026-03-11,Cần Thơ,TikTok Ads,6871,136,402043,19,3
2026-03-11,Cần Thơ,Google Ads,4577,221,1127886,42,23
2026-03-11,Cần Thơ,Zalo Ads,3383,76,173962,9,1
2026-03-12,TP.HCM,Facebook Ads,43515,559,2398381,81,24
2026-03-12,TP.HCM,TikTok Ads,36569,701,2763157,92,24
2026-03-12,TP.HCM,Google Ads,23850,982,6669293,212,116
2026-03-12,TP.HCM,Zalo Ads,17314,383,1162010,60,21
2026-03-12,Hà Nội,Facebook Ads,33607,486,2113499,79,21
2026-03-12,Hà Nội,TikTok Ads,28527,619,2230236,57,19
2026-03-12,Hà Nội,Google Ads,18538,707,4127234,137,61
2026-03-12,Hà Nội,Zalo Ads,13688,318,954292,48,20
2026-03-12,Đà Nẵng,Facebook Ads,12271,193,623908,24,5
2026-03-12,Đà Nẵng,TikTok Ads,10418,211,587510,33,9
2026-03-12,Đà Nẵng,Google Ads,6752,262,1405707,58,24
2026-03-12,Đà Nẵng,Zalo Ads,4781,104,239534,18,8
2026-03-12,Cần Thơ,Facebook Ads,8341,121,426863,16,2
2026-03-12,Cần Thơ,TikTok Ads,7030,139,350739,19,1
2026-03-12,Cần Thơ,Google Ads,4518,205,876837,42,20
2026-03-12,Cần Thơ,Zalo Ads,3325,85,163210,14,6
2026-03-13,TP.HCM,Facebook Ads,42723,602,2754297,63,20
2026-03-13,TP.HCM,TikTok Ads,36807,487,1767851,62,15
2026-03-13,TP.HCM,Google Ads,24046,884,5743203,113,42
2026-03-13,TP.HCM,Zalo Ads,17249,390,1222680,72,22
2026-03-13,Hà Nội,Facebook Ads,33852,485,1916720,65,15
2026-03-13,Hà Nội,TikTok Ads,28691,521,2006112,70,26
2026-03-13,Hà Nội,Google Ads,18615,748,4517069,188,94
2026-03-13,Hà Nội,Zalo Ads,13643,313,892992,40,17
2026-03-13,Đà Nẵng,Facebook Ads,12193,160,538622,16,6
2026-03-13,Đà Nẵng,TikTok Ads,10384,207,604113,22,8
2026-03-13,Đà Nẵng,Google Ads,6667,315,1462963,82,32
2026-03-13,Đà Nẵng,Zalo Ads,4890,85,210994,13,5
2026-03-13,Cần Thơ,Facebook Ads,8113,118,365288,17,7
2026-03-13,Cần Thơ,TikTok Ads,7038,109,272317,7,3
2026-03-13,Cần Thơ,Google Ads,4554,211,1109283,54,23
2026-03-13,Cần Thơ,Zalo Ads,3324,85,207895,24,7
2026-03-14,TP.HCM,Facebook Ads,38719,449,1831365,64,25
2026-03-14,TP.HCM,TikTok Ads,33168,653,2531586,87,30
2026-03-14,TP.HCM,Google Ads,21468,1014,5659503,199,65
2026-03-14,TP.HCM,Zalo Ads,15464,367,1064259,50,18
2026-03-14,Hà Nội,Facebook Ads,30365,416,1913114,64,24
2026-03-14,Hà Nội,TikTok Ads,25929,501,1795445,56,18
2026-03-14,Hà Nội,Google Ads,16741,659,4123271,159,83
2026-03-14,Hà Nội,Zalo Ads,12369,211,600387,38,15
2026-03-14,Đà Nẵng,Facebook Ads,11008,143,451442,15,8
2026-03-14,Đà Nẵng,TikTok Ads,9260,189,529229,24,6
2026-03-14,Đà Nẵng,Google Ads,6116,203,1153625,70,36
2026-03-14,Đà Nẵng,Zalo Ads,4257,100,260339,16,8
2026-03-14,Cần Thơ,Facebook Ads,7430,111,304263,19,7
2026-03-14,Cần Thơ,TikTok Ads,6183,143,432119,17,2
2026-03-14,Cần Thơ,Google Ads,4090,192,754205,35,16
2026-03-14,Cần Thơ,Zalo Ads,2939,72,156797,11,2
2026-03-15,TP.HCM,Facebook Ads,39107,545,2581696,74,22
2026-03-15,TP.HCM,TikTok Ads,33178,548,2246762,58,18
2026-03-15,TP.HCM,Google Ads,21382,784,4985759,196,83
2026-03-15,TP.HCM,Zalo Ads,15823,337,975079,56,26
2026-03-15,Hà Nội,Facebook Ads,30223,450,1786592,49,13
2026-03-15,Hà Nội,TikTok Ads,26032,451,1632921,42,17
2026-03-15,Hà Nội,Google Ads,16754,682,3852746,165,79
2026-03-15,Hà Nội,Zalo Ads,12243,211,596019,38,14
2026-03-15,Đà Nẵng,Facebook Ads,10972,129,408571,12,3
2026-03-15,Đà Nẵng,TikTok Ads,9200,191,470914,22,7
2026-03-15,Đà Nẵng,Google Ads,5973,258,1237673,58,30
2026-03-15,Đà Nẵng,Zalo Ads,4450,89,257034,18,7
2026-03-15,Cần Thơ,Facebook Ads,7362,111,361718,15,6
2026-03-15,Cần Thơ,TikTok Ads,6273,100,289296,12,1
2026-03-15,Cần Thơ,Google Ads,4071,183,879992,63,20
2026-03-15,Cần Thơ,Zalo Ads,2935,58,110537,9,3
2026-03-16,TP.HCM,Facebook Ads,43247,629,2430478,110,40
2026-03-16,TP.HCM,TikTok Ads,36950,746,2618360,66,18
2026-03-16,TP.HCM,Google Ads,23773,1089,7781742,237,92
2026-03-16,TP.HCM,Zalo Ads,17601,314,815091,60,22
2026-03-16,Hà Nội,Facebook Ads,33874,540,2341170,63,14
2026-03-16,Hà Nội,TikTok Ads,29154,489,1731122,51,7
2026-03-16,Hà Nội,Google Ads,18671,784,4829047,127,73
2026-03-16,Hà Nội,Zalo Ads,13352,305,829399,49,24
2026-03-16,Đà Nẵng,Facebook Ads,12223,117,373438,15,4
2026-03-16,Đà Nẵng,TikTok Ads,10510,230,731247,19,6
2026-03-16,Đà Nẵng,Google Ads,6701,290,1715067,54,20
2026-03-16,Đà Nẵng,Zalo Ads,4920,101,235694,17,8
2026-03-16,Cần Thơ,Facebook Ads,8312,162,513626,26,5
2026-03-16,Cần Thơ,TikTok Ads,6959,165,446306,24,3
2026-03-16,Cần Thơ,Google Ads,4598,206,1162010,49,17
2026-03-16,Cần Thơ,Zalo Ads,3269,97,202936,14,7
2026-03-17,TP.HCM,Facebook Ads,44002,534,2209848,80,25
2026-03-17,TP.HCM,TikTok Ads,37183,637,2423546,68,16
2026-03-17,TP.HCM,Google Ads,24068,934,6218026,233,126
2026-03-17,TP.HCM,Zalo Ads,17289,319,909232,58,19
2026-03-17,Hà Nội,Facebook Ads,33942,537,2278575,64,14
2026-03-17,Hà Nội,TikTok Ads,28714,474,1611349,53,17
2026-03-17,Hà Nội,Google Ads,18515,916,5373159,304,141
2026-03-17,Hà Nội,Zalo Ads,13850,263,818672,57,20
2026-03-17,Đà Nẵng,Facebook Ads,12288,188,656828,33,15
2026-03-17,Đà Nẵng,TikTok Ads,10433,181,496884,15,6
2026-03-17,Đà Nẵng,Google Ads,6743,367,1784279,88,44
2026-03-17,Đà Nẵng,Zalo Ads,4919,93,189436,10,3
2026-03-17,Cần Thơ,Facebook Ads,8256,117,345269,14,6
2026-03-17,Cần Thơ,TikTok Ads,7164,120,345665,17,2
2026-03-17,Cần Thơ,Google Ads,4574,147,676189,23,11
2026-03-17,Cần Thơ,Zalo Ads,3451,96,206046,13,1
2026-03-18,TP.HCM,Facebook Ads,43615,563,2580826,76,20
2026-03-18,TP.HCM,TikTok Ads,37188,864,3048584,75,9
2026-03-18,TP.HCM,Google Ads,23756,1093,6801565,290,154
2026-03-18,TP.HCM,Zalo Ads,17283,389,1094836,35,15
2026-03-18,Hà Nội,Facebook Ads,34005,430,1753291,64,29
2026-03-18,Hà Nội,TikTok Ads,28816,552,2095862,66,7
2026-03-18,Hà Nội,Google Ads,18703,712,4631086,154,88
2026-03-18,Hà Nội,Zalo Ads,13594,283,841988,36,17
2026-03-18,Đà Nẵng,Facebook Ads,12238,202,628881,35,11
2026-03-18,Đà Nẵng,TikTok Ads,10287,196,621444,19,5
2026-03-18,Đà Nẵng,Google Ads,6584,275,1153697,56,23
2026-03-18,Đà Nẵng,Zalo Ads,4843,89,222739,12,3
2026-03-18,Cần Thơ,Facebook Ads,8321,93,277611,20,6
2026-03-18,Cần Thơ,TikTok Ads,7024,113,280505,12,2
2026-03-18,Cần Thơ,Google Ads,4608,205,919939,58,15
2026-03-18,Cần Thơ,Zalo Ads,3289,64,127147,7,2
2026-03-19,TP.HCM,Facebook Ads,43805,616,2558392,114,45
2026-03-19,TP.HCM,TikTok Ads,37279,717,2662313,73,19
2026-03-19,TP.HCM,Google Ads,24223,1308,8731218,418,211
2026-03-19,TP.HCM,Zalo Ads,17560,391,1172873,73,29
2026-03-19,Hà Nội,Facebook Ads,34202,481,2294381,75,23
2026-03-19,Hà Nội,TikTok Ads,29321,563,1782696,58,12
2026-03-19,Hà Nội,Google Ads,18945,853,5689343,217,114
2026-03-19,Hà Nội,Zalo Ads,13617,292,817992,57,18
2026-03-19,Đà Nẵng,Facebook Ads,12371,168,658732,21,6
2026-03-19,Đà Nẵng,TikTok Ads,10538,196,561465,18,0
2026-03-19,Đà Nẵng,Google Ads,6654,233,1036159,45,20
2026-03-19,Đà Nẵng,Zalo Ads,4865,77,175913,7,3
2026-03-19,Cần Thơ,Facebook Ads,8311,107,375759,13,6
2026-03-19,Cần Thơ,TikTok Ads,6995,138,424158,17,3
2026-03-19,Cần Thơ,Google Ads,4520,198,938488,38,19
2026-03-19,Cần Thơ,Zalo Ads,3287,88,200136,19,6
2026-03-20,TP.HCM,Facebook Ads,44153,720,3063971,140,36
2026-03-20,TP.HCM,TikTok Ads,37283,861,2805284,119,38
2026-03-20,TP.HCM,Google Ads,24394,1162,7664546,232,102
2026-03-20,TP.HCM,Zalo Ads,17722,314,932961,57,21
2026-03-20,Hà Nội,Facebook Ads,34415,517,2215744,65,25
2026-03-20,Hà Nội,TikTok Ads,29051,585,2060631,59,21
2026-03-20,Hà Nội,Google Ads,18790,637,3946657,138,82
2026-03-20,Hà Nội,Zalo Ads,14031,392,1107614,53,15
2026-03-20,Đà Nẵng,Facebook Ads,12329,170,540997,17,4
2026-03-20,Đà Nẵng,TikTok Ads,10512,206,605328,23,5
2026-03-20,Đà Nẵng,Google Ads,6815,279,1345161,67,29
2026-03-20,Đà Nẵng,Zalo Ads,4949,150,379080,23,10
2026-03-20,Cần Thơ,Facebook Ads,8294,131,372480,17,5
2026-03-20,Cần Thơ,TikTok Ads,7044,114,323100,16,4
2026-03-20,Cần Thơ,Google Ads,4563,182,712563,50,32
2026-03-20,Cần Thơ,Zalo Ads,3379,79,184779,12,4
2026-03-21,TP.HCM,Facebook Ads,39416,510,1821697,73,20
2026-03-21,TP.HCM,TikTok Ads,33892,617,2154938,56,16
2026-03-21,TP.HCM,Google Ads,21769,871,5701052,181,79
2026-03-21,TP.HCM,Zalo Ads,15876,373,1007992,54,18
2026-03-21,Hà Nội,Facebook Ads,31010,459,1815082,48,7
2026-03-21,Hà Nội,TikTok Ads,26510,481,1547357,89,21
2026-03-21,Hà Nội,Google Ads,16845,670,4247789,115,48
2026-03-21,Hà Nội,Zalo Ads,12177,235,651883,38,9
2026-03-21,Đà Nẵng,Facebook Ads,11095,212,766436,38,9
2026-03-21,Đà Nẵng,TikTok Ads,9393,150,525022,12,1
2026-03-21,Đà Nẵng,Google Ads,6020,233,1141322,40,25
2026-03-21,Đà Nẵng,Zalo Ads,4486,84,202698,17,6
2026-03-21,Cần Thơ,Facebook Ads,7671,118,406359,19,7
2026-03-21,Cần Thơ,TikTok Ads,6467,123,321721,15,4
2026-03-21,Cần Thơ,Google Ads,4153,211,961339,50,15
2026-03-21,Cần Thơ,Zalo Ads,3064,83,196280,9,4
2026-03-22,TP.HCM,Facebook Ads,39794,508,2404758,63,26
2026-03-22,TP.HCM,TikTok Ads,33993,658,2798567,67,18
2026-03-22,TP.HCM,Google Ads,21779,936,6099526,203,91
2026-03-22,TP.HCM,Zalo Ads,15813,283,808272,54,13
2026-03-22,Hà Nội,Facebook Ads,31008,367,1470891,55,11
2026-03-22,Hà Nội,TikTok Ads,26446,517,1934433,57,10
2026-03-22,Hà Nội,Google Ads,17035,689,4221163,164,64
2026-03-22,Hà Nội,Zalo Ads,12503,349,971236,59,21
2026-03-22,Đà Nẵng,Facebook Ads,11234,144,516642,16,5
2026-03-22,Đà Nẵng,TikTok Ads,9466,187,521724,17,6
2026-03-22,Đà Nẵng,Google Ads,6182,285,1333154,69,25
2026-03-22,Đà Nẵng,Zalo Ads,4487,85,197340,12,6
2026-03-22,Cần Thơ,Facebook Ads,7578,97,295349,20,4
2026-03-22,Cần Thơ,TikTok Ads,6393,129,353995,16,0
2026-03-22,Cần Thơ,Google Ads,4092,151,743194,42,21
2026-03-22,Cần Thơ,Zalo Ads,3099,59,137840,19,8
2026-03-23,TP.HCM,Facebook Ads,44535,616,2544791,99,38
2026-03-23,TP.HCM,TikTok Ads,37409,705,2742743,78,16
2026-03-23,TP.HCM,Google Ads,24325,1066,7123218,338,166
2026-03-23,TP.HCM,Zalo Ads,17979,405,1200834,93,43
2026-03-23,Hà Nội,Facebook Ads,34559,389,1672995,63,17
2026-03-23,Hà Nội,TikTok Ads,29546,552,2033591,57,14
2026-03-23,Hà Nội,Google Ads,19177,844,5097815,182,106
2026-03-23,Hà Nội,Zalo Ads,13842,285,804186,42,8
2026-03-23,Đà Nẵng,Facebook Ads,12403,147,538395,16,7
2026-03-23,Đà Nẵng,TikTok Ads,10440,186,494459,28,9
2026-03-23,Đà Nẵng,Google Ads,6896,274,1292289,56,26
2026-03-23,Đà Nẵng,Zalo Ads,4803,103,248958,7,2
2026-03-23,Cần Thơ,Facebook Ads,8317,167,463478,21,5
2026-03-23,Cần Thơ,TikTok Ads,7280,119,341268,6,3
2026-03-23,Cần Thơ,Google Ads,4737,223,1005501,47,23
2026-03-23,Cần Thơ,Zalo Ads,3352,71,148103,6,2
2026-03-24,TP.HCM,Facebook Ads,44465,506,2483721,101,37
2026-03-24,TP.HCM,TikTok Ads,37964,755,2704870,78,23
2026-03-24,TP.HCM,Google Ads,24404,1002,5997668,182,71
2026-03-24,TP.HCM,Zalo Ads,17680,421,1383867,73,23
2026-03-24,Hà Nội,Facebook Ads,34303,495,2184269,57,23
2026-03-24,Hà Nội,TikTok Ads,29329,484,1769204,65,23
2026-03-24,Hà Nội,Google Ads,19034,887,5058492,193,86
2026-03-24,Hà Nội,Zalo Ads,13933,237,799541,33,13
2026-03-24,Đà Nẵng,Facebook Ads,12512,171,584195,22,4
2026-03-24,Đà Nẵng,TikTok Ads,10668,208,612762,31,10
2026-03-24,Đà Nẵng,Google Ads,6835,308,1786033,62,37
2026-03-24,Đà Nẵng,Zalo Ads,4898,132,295146,20,3
2026-03-24,Cần Thơ,Facebook Ads,8378,105,333745,18,4
2026-03-24,Cần Thơ,TikTok Ads,7336,125,365131,9,1
2026-03-24,Cần Thơ,Google Ads,4627,164,885813,45,7
2026-03-24,Cần Thơ,Zalo Ads,3368,78,142320,13,3
2026-03-25,TP.HCM,Facebook Ads,44429,588,2448448,70,27
2026-03-25,TP.HCM,TikTok Ads,37717,686,2580410,70,6
2026-03-25,TP.HCM,Google Ads,24189,843,6049105,200,105
2026-03-25,TP.HCM,Zalo Ads,17882,398,1296651,68,21
2026-03-25,Hà Nội,Facebook Ads,34386,435,1918421,55,19
2026-03-25,Hà Nội,TikTok Ads,29533,561,2001955,50,10
2026-03-25,Hà Nội,Google Ads,19123,762,3733852,148,71
2026-03-25,Hà Nội,Zalo Ads,13979,322,803048,40,14
2026-03-25,Đà Nẵng,Facebook Ads,12449,151,488256,25,11
2026-03-25,Đà Nẵng,TikTok Ads,10588,184,576642,23,1
2026-03-25,Đà Nẵng,Google Ads,6837,277,1351578,64,29
2026-03-25,Đà Nẵng,Zalo Ads,5020,103,249205,15,6
2026-03-25,Cần Thơ,Facebook Ads,8523,99,281152,10,3
2026-03-25,Cần Thơ,TikTok Ads,7202,123,357112,11,3
2026-03-25,Cần Thơ,Google Ads,4658,203,892911,47,22
2026-03-25,Cần Thơ,Zalo Ads,3352,75,151609,11,4
